Vardas                   Pavarde                    ND1        ND2        ND3        ND4        ND5        ND6        ND7        ND8        ND9        ND10       ND11       ND12       ND13       ND14       ND15       
Vardas1                  Pavarde1                    8          7          3          4          3          2          10         8          8          1          9          4          10         3          10         
Vardas2                  Pavarde2                    3          4          3          6          8          3          2          5          1          9          8          8          9          3          7          
Vardas3                  Pavarde3                    5          8          5          5          8          10         5          6          4          8          2          4          4          4          7          
Vardas4                  Pavarde4                    3          6          8          2          1          4          6          8          7          10         10         10         5          8          1          
Vardas5                  Pavarde5                    4          5          10         10         8          6          10         9          10         3          5          6          10         7          7          
Vardas6                  Pavarde6                    2          3          6          7          5          1          7          2          5          5          2          2          9          4          8          
Vardas7                  Pavarde7                    1          7          10         6          7          4          6          3          4          9          6          7          3          9          10         
Vardas8                  Pavarde8                    10         9          3          6          8          6          1          4          6          1          3          1          2          4          10         
Vardas9                  Pavarde9                    7          10         10         9          3          5          8          2          6          10         2          7          9          3          10         
Vardas10                 Pavarde10                   2          3          4          3          2          10         1          8          3          2          7          6          6          6          3          
Vardas11                 Pavarde11                   7          6          3          2          8          6          7          9          5          10         8          1          2          8          9          
Vardas12                 Pavarde12                   2          9          9          10         6          8          5          7          9          8          2          2          6          9          7          
Vardas13                 Pavarde13                   5          2          1          2          3          10         5          6          6          8          2          5          4          7          5          
Vardas14                 Pavarde14                   2          8          4          9          1          2          6          4          5          9          1          10         6          7          6          
Vardas15                 Pavarde15                   9          1          3          8          7          6          8          1          10         5          3          10         3          2          10         
Vardas16                 Pavarde16                   5          3          7          4          4          3          8          10         3          6          5          10         7          2          4          
Vardas17                 Pavarde17                   2          7          7          4          6          2          6          2          4          2          10         10         9          9          2          
Vardas18                 Pavarde18                   9          5          8          9          9          10         8          6          4          8          6          9          5          4          9          
Vardas19                 Pavarde19                   9          6          4          5          9          9          1          10         6          6          2          6          8          9          3          
Vardas20                 Pavarde20                   10         4          7          6          7          2          9          10         6          2          6          9          1          3          5          
Vardas21                 Pavarde21                   7          3          2          10         4          7          9          1          6          1          6          4          2          7          5          
Vardas22                 Pavarde22                   8          8          5          3          9          1          3          7          1          5          9          3          7          7          10         
Vardas23                 Pavarde23                   3          5          4          9          6          1          10         3          8          2          3          7          2          10         9          
Vardas24                 Pavarde24                   5          1          8          6          4          6          9          5          4          7          9          3          2          7          1          
Vardas25                 Pavarde25                   1          6          1          5          3          2          9          2          3          10         7          10         10         6          6          
Vardas26                 Pavarde26                   2          6          6          3          8          2          6          9          8          8          4          3          5          8          10         
Vardas27                 Pavarde27                   6          7          10         5          5          5          9          3          2          10         6          1          1          8          6          
Vardas28                 Pavarde28                   6          6          4          6          6          4          8          6          7          10         7          7          10         10         2          
Vardas29                 Pavarde29                   4          4          10         3          8          10         5          10         5          1          1          2          2          10         4          
Vardas30                 Pavarde30                   3          4          4          2          3          10         6          4          6          4          1          9          4          10         4          
Vardas31                 Pavarde31                   2          7          7          1          2          9          2          4          10         10         7          5          2          5          4          
Vardas32                 Pavarde32                   10         3          8          8          8          7          10         4          10         8          2          10         5          8          8          
Vardas33                 Pavarde33                   3          1          9          3          10         2          1          5          2          10         1          3          3          5          6          
Vardas34                 Pavarde34                   3          1          8          5          1          4          5          3          8          7          3          8          2          9          8          
Vardas35                 Pavarde35                   4          7          10         8          7          3          5          10         7          2          2          7          8          10         9          
Vardas36                 Pavarde36                   8          8          5          6          2          10         9          6          8          8          6          1          9          9          6          
Vardas37                 Pavarde37                   8          10         6          7          4          5          6          10         5          4          1          8          5          6          2          
Vardas38                 Pavarde38                   4          7          6          4          1          4          5          7          8          7          2          4          2          9          8          
Vardas39                 Pavarde39                   3          1          4          4          9          1          2          7          5          9          2          1          10         9          4          
Vardas40                 Pavarde40                   3          6          6          5          4          4          6          1          9          2          1          1          4          6          6          
Vardas41                 Pavarde41                   2          2          2          8          2          7          6          8          2          1          10         8          6          1          10         
Vardas42                 Pavarde42                   7          8          7          7          7          2          6          5          9          9          7          2          9          1          2          
Vardas43                 Pavarde43                   9          1          7          4          8          4          8          7          7          8          4          4          2          10         1          
Vardas44                 Pavarde44                   9          9          7          3          9          6          9          7          3          8          4          7          6          9          5          
Vardas45                 Pavarde45                   10         6          10         2          4          8          8          7          3          1          2          3          3          6          3          
Vardas46                 Pavarde46                   4          8          5          8          8          5          8          2          8          8          3          3          8          10         9          
Vardas47                 Pavarde47                   9          4          9          8          10         7          8          2          7          10         6          8          1          5          4          
Vardas48                 Pavarde48                   7          9          2          2          8          4          9          3          6          10         9          5          1          10         7          
Vardas49                 Pavarde49                   10         2          3          8          5          3          9          3          2          8          5          5          2          5          2          
Vardas50                 Pavarde50                   10         3          10         5          3          7          5          2          10         4          2          1          8          1          3          
Vardas51                 Pavarde51                   1          4          7          6          2          9          8          3          7          10         4          5          2          3          4          
Vardas52                 Pavarde52                   8          9          6          2          2          8          4          3          4          1          2          6          1          10         6          
Vardas53                 Pavarde53                   10         9          7          10         1          4          7          3          10         1          5          5          3          1          4          
Vardas54                 Pavarde54                   7          4          10         10         4          8          3          4          6          3          4          3          6          9          8          
Vardas55                 Pavarde55                   9          2          10         9          6          2          6          5          5          1          5          6          8          9          3          
Vardas56                 Pavarde56                   3          10         6          10         2          4          1          1          4          7          1          8          2          1          6          
Vardas57                 Pavarde57                   1          2          3          3          4          3          10         6          3          5          8          1          10         3          3          
Vardas58                 Pavarde58                   7          3          6          2          3          1          4          1          7          2          4          7          3          8          10         
Vardas59                 Pavarde59                   3          4          6          8          6          2          9          2          3          4          3          6          3          2          2          
Vardas60                 Pavarde60                   7          4          9          7          10         8          9          3          10         4          10         7          1          7          9          
Vardas61                 Pavarde61                   7          8          7          10         5          5          5          6          7          7          8          4          7          2          7          
Vardas62                 Pavarde62                   8          1          3          4          7          1          6          6          6          6          4          10         9          5          10         
Vardas63                 Pavarde63                   10         6          3          4          6          6          4          10         3          1          2          5          7          6          10         
Vardas64                 Pavarde64                   1          4          6          4          3          6          4          4          10         1          6          9          9          7          5          
Vardas65                 Pavarde65                   5          3          1          4          10         3          9          3          4          10         3          9          3          8          3          
Vardas66                 Pavarde66                   5          6          9          8          6          3          1          2          5          10         9          3          4          1          7          
Vardas67                 Pavarde67                   9          6          5          6          5          3          8          6          6          10         3          1          2          5          4          
Vardas68                 Pavarde68                   1          7          6          2          2          10         4          9          5          8          3          6          1          7          4          
Vardas69                 Pavarde69                   5          3          1          7          4          9          4          8          10         1          2          10         3          3          6          
Vardas70                 Pavarde70                   6          8          9          7          8          4          3          1          4          10         7          7          3          9          6          
Vardas71                 Pavarde71                   10         8          3          1          10         3          1          9          10         8          5          3          5          7          4          
Vardas72                 Pavarde72                   10         10         3          5          1          7          10         5          3          6          4          5          6          10         7          
Vardas73                 Pavarde73                   7          10         4          2          1          4          6          7          4          9          2          4          7          3          2          
Vardas74                 Pavarde74                   1          6          4          5          7          6          9          5          8          2          8          2          2          8          10         
Vardas75                 Pavarde75                   1          4          10         3          9          2          4          3          5          7          4          8          8          2          6          
Vardas76                 Pavarde76                   4          3          4          1          3          8          10         1          3          10         10         1          1          5          2          
Vardas77                 Pavarde77                   7          5          8          4          10         3          6          6          10         6          1          6          5          2          5          
Vardas78                 Pavarde78                   5          3          1          3          9          8          5          10         4          7          2          8          6          4          3          
Vardas79                 Pavarde79                   7          6          5          5          4          6          7          10         4          8          4          1          9          1          8          
Vardas80                 Pavarde80                   9          7          3          9          8          3          1          10         1          3          4          9          3          5          10         
Vardas81                 Pavarde81                   2          10         7          5          7          10         7          1          4          8          5          1          2          5          5          
Vardas82                 Pavarde82                   5          8          5          4          6          1          9          5          1          5          1          7          7          1          8          
Vardas83                 Pavarde83                   4          3          8          8          2          10         7          8          7          2          8          6          6          6          10         
Vardas84                 Pavarde84                   8          9          1          9          4          8          9          6          9          8          1          8          6          7          2          
Vardas85                 Pavarde85                   2          7          9          4          6          10         9          7          7          2          1          4          2          3          2          
Vardas86                 Pavarde86                   9          2          3          6          6          9          9          7          10         5          1          3          6          8          9          
Vardas87                 Pavarde87                   7          6          6          6          10         3          10         1          3          4          9          1          3          2          5          
Vardas88                 Pavarde88                   7          6          3          5          3          5          1          3          9          8          8          3          4          1          1          
Vardas89                 Pavarde89                   8          7          2          6          2          3          6          4          6          7          2          10         9          6          5          
Vardas90                 Pavarde90                   8          2          9          7          10         8          7          6          4          10         4          7          6          6          2          
Vardas91                 Pavarde91                   9          2          5          7          5          3          3          8          2          4          3          8          4          7          10         
Vardas92                 Pavarde92                   4          8          4          4          8          2          5          4          6          7          6          9          4          6          4          
Vardas93                 Pavarde93                   10         4          2          8          2          8          5          9          2          6          3          1          5          2          8          
